id12101,48,FEMALE,INNER_CITY,22467,YES,0,YES,YES,NO,YES,YES
id12102,40,MALE,TOWN,32825,NO,3,NO,YES,YES,NO,YES
id12103,51,FEMALE,INNER_CITY,16575.4,NO,1,NO,NO,YES,YES,YES
id12104,23,FEMALE,TOWN,20375.4,NO,0,YES,YES,YES,YES,NO
id12105,57,FEMALE,RURAL,50576.3,NO,2,YES,NO,NO,YES,NO
id12106,57,FEMALE,TOWN,37869.6,YES,3,NO,YES,YES,YES,YES
id12107,22,MALE,RURAL,8877.07,YES,1,YES,NO,YES,NO,YES
id12108,58,MALE,TOWN,24946.6,NO,2,NO,YES,YES,NO,NO
id12109,37,FEMALE,SUBURBAN,25304.3,YES,3,NO,NO,NO,NO,NO
id12110,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
id12111,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
id12112,52,FEMALE,INNER_CITY,266222.8,NO,0,YES,YES,YES,YES,NO
id12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
id12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
id12115,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
id12116,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
id12117,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO
id12118,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
id12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
id12120,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
